pid,rank,date
e6LoQxIw,1,2017-12-01
ywYcM5y0,2,2017-12-01
hhOmGIls,3,2017-12-01
9VwKDBO4,4,2017-12-01
Q5dE-6Cm,5,2017-12-01
_kjXf_Zt,6,2017-12-01
1uVZjWMu,7,2017-12-01
V3KN74T9,8,2017-12-01
3B7bhdh3,9,2017-12-01
vXaSvEK6,10,2017-12-01
Wfngq_NC,11,2017-12-01
BKaUtdGp,12,2017-12-01
MVpoxopZ,13,2017-12-01
GoPTQ8dT,14,2017-12-01
eWDM9xAe,15,2017-12-01
t4_PwAYp,16,2017-12-01
fMag1Tga,17,2017-12-01
tgmmUOx0,18,2017-12-01
4RmwbCw4,19,2017-12-01
og3XtU1p,20,2017-12-01
gW9hUEkQ,21,2017-12-01
3hTPwXPr,22,2017-12-01
uksx0FeR,23,2017-12-01
icJam_5l,24,2017-12-01
yoLx6Opy,25,2017-12-01
S9Mkb_Js,26,2017-12-01
vM6SpcAX,27,2017-12-01
UG7x7CeZ,28,2017-12-01
gD-ZZmb-,29,2017-12-01
vOTeHcnB,30,2017-12-01
N1DTyWDC,31,2017-12-01
QUNHFVVV,32,2017-12-01
BSgKaQmC,33,2017-12-01
_AaHhmpY,34,2017-12-01
wpe4NbSF,35,2017-12-01
gMTqgK-l,36,2017-12-01
WsC4viH8,37,2017-12-01
ryviUJgy,38,2017-12-01
cWjC2ttw,39,2017-12-01
X4q99UL7,40,2017-12-01
f-x9bxwm,41,2017-12-01
2zXpXjMp,42,2017-12-01
j8hvJDPs,43,2017-12-01
iMA-XcSh,44,2017-12-01
wlyGmMNW,45,2017-12-01
SxdL_VN6,46,2017-12-01
4Qq9sGzS,47,2017-12-01
2oWa2CKB,48,2017-12-01
Grohf5-o,49,2017-12-01
_mik5-Lj,50,2017-12-01
y3aIN6Vj,51,2017-12-01
dOSV6VLu,52,2017-12-01
Tiouijwe,53,2017-12-01
wYZwNMBK,54,2017-12-01
BzXPe5je,55,2017-12-01
t2UGgCDf,56,2017-12-01
Ni6noMmw,57,2017-12-01
YJ6Vy4Nv,58,2017-12-01
mLZbUw7g,59,2017-12-01
3c-Mne-5,60,2017-12-01
sEdO8hht,61,2017-12-01
9xnr1G5u,62,2017-12-01
nXoABtkj,63,2017-12-01
xoZWy8yV,64,2017-12-01
JQNo0TMz,65,2017-12-01
MmXGi1X7,66,2017-12-01
rCOEcopo,67,2017-12-01
VuKT5NQ6,68,2017-12-01
lSTmfWDS,69,2017-12-01
Qbz7DnQ_,70,2017-12-01
ewzharPB,71,2017-12-01
8AjyAF5f,72,2017-12-01
E_h53ExD,73,2017-12-01
Xo1Z1OwW,74,2017-12-01
68Mzp1yU,75,2017-12-01
gMCUOdzs,76,2017-12-01
MkYz16Rk,77,2017-12-01
8eo2Gj0-,78,2017-12-01
rhdnRJOM,79,2017-12-01
uf3FMxIG,80,2017-12-01
ykCnmE25,81,2017-12-01
LXTWWvvX,82,2017-12-01
wxpUtIv4,83,2017-12-01
ZkguPAqh,84,2017-12-01
7CwLvXc6,85,2017-12-01
twNjx7HC,86,2017-12-01
IUq0Mmjo,87,2017-12-01
dvuz2BjM,88,2017-12-01
JrjcWFwe,89,2017-12-01
5dKUt0bi,90,2017-12-01
1xqHQw3J,91,2017-12-01
YK47CRXj,92,2017-12-01
m87V1xS7,93,2017-12-01
kwDTH4hY,94,2017-12-01
nAI7nw4v,95,2017-12-01
hAPNuHZP,96,2017-12-01
AHILcvSG,97,2017-12-01
68D73d0w,98,2017-12-01
aPUTe4sb,99,2017-12-01
jLw_tYRU,100,2017-12-01
TFcwEw7y,1,2017-12-02
gW9hUEkQ,2,2017-12-02
